Brand,Name,TD,Color
Bambu Lab PLA Basic,Bambu Green,2,#00AE42
Bambu Lab PLA Basic,Beige,3.4,#F7E6DE
Bambu Lab PLA Basic,Black,0.1,#000000
Bambu Lab PLA Basic,Blue,4,#0A2989
Bambu Lab PLA Basic,Blue Grey,3.1,#5B6579
Bambu Lab PLA Basic,Bright Green,2,#BECF00
Bambu Lab PLA Basic,Bronze,2,#847D48
Bambu Lab PLA Basic,Brown,2,#9D432C
Bambu Lab PLA Basic,Cobalt Blue,4,#0056B8
Bambu Lab PLA Basic,Cocoa Brown,2,#6F5034
Bambu Lab PLA Basic,Cyan,4,#0086D6
Bambu Lab PLA Basic,Dark Gray,0.1,#545454
Bambu Lab PLA Basic,Gold,5,#E4BD68
Bambu Lab PLA Basic,Gray,2,#8E9089
Bambu Lab PLA Basic,Hot Pink,8,#F5547C
Bambu Lab PLA Basic,Indigo Purple,3,#482960
Bambu Lab PLA Basic,Jade White,6.1,#FFFFFF
Bambu Lab PLA Basic,Light Gray,4,#D1D3D5
Bambu Lab PLA Basic,Magenta,3,#EC008C
Bambu Lab PLA Basic,Maroon Red,4,#9D2235
Bambu Lab PLA Basic,Mistletoe Green,2,#3F8E43
Bambu Lab PLA Basic,Orange,5,#FF6A13
Bambu Lab PLA Basic,Pink,8,#F55A74
Bambu Lab PLA Basic,Pumpkin Orange,5,#FF9016
Bambu Lab PLA Basic,Purple,3,#5E43B7
Bambu Lab PLA Basic,Red,4,#C12E1F
Bambu Lab PLA Basic,Silver,0.5,#A6A9AA
Bambu Lab PLA Basic,Sunflower Yellow,6,#FEC600
Bambu Lab PLA Basic,Turquoise,1.4,#00B1B7
Bambu Lab PLA Basic,Yellow,6,#F4EE2A
Bambu Lab PLA Matte,Apple Green,2,#C2E189
Bambu Lab PLA Matte,Ash Gray,1.5,#9B9EA0
Bambu Lab PLA Matte,Bone White,6.1,#CBC6B8
Bambu Lab PLA Matte,Caramel,5,#AE835B
Bambu Lab PLA Matte,Charcoal,0.6,#000000
Bambu Lab PLA Matte,Dark Blue,4,#042F56
Bambu Lab PLA Matte,Dark Brown,2,#7D6556
Bambu Lab PLA Matte,Dark Chocolate,2,#4D3324
Bambu Lab PLA Matte,Dark Green,0.1,#68724D
Bambu Lab PLA Matte,Dark Red,4,#BB3D43
Bambu Lab PLA Matte,Desert Tan,1,#E8DBB7
Bambu Lab PLA Matte,Grass Green,2,#61C680
Bambu Lab PLA Matte,Ice Blue,4,#A3D8E1
Bambu Lab PLA Matte,Ivory White,6.1,#FFFFFF
Bambu Lab PLA Matte,Latte Brown,2,#D3B7A7
Bambu Lab PLA Matte,Lemon Yellow,6,#F7D959
Bambu Lab PLA Matte,Lilac Purple,3,#AE96D4
Bambu Lab PLA Matte,Mandarin Orange,5,#F99963
Bambu Lab PLA Matte,Marine Blue,4,#0078BF
Bambu Lab PLA Matte,Nardo Gray,0.7,#757575
Bambu Lab PLA Matte,Plum,4,#950051
Bambu Lab PLA Matte,Sakura Pink,8,#E8AFCF
Bambu Lab PLA Matte,Scarlet Red,4,#DE4343
Bambu Lab PLA Matte,Sky Blue,4,#56B7E6
Bambu Lab PLA Matte,Terracotta,3,#B15533
